Country,Longitude,Latitude,Flag,MarkerDx,MarkerDy,LabelDx,LabelDy
Northern Mariana Islands,145.70,15.20,🇲🇵,0,0,29,4
Guam,144.79,13.44,🇬🇺,0,0,29,4
Palau,134.58,7.52,🇵🇼,0,0,-29,4
Micronesia,158.20,6.90,🇫🇲,0,0,29,4
Marshall Islands,171.18,7.13,🇲🇭,0,0,29,4
Nauru,166.93,-0.52,🇳🇷,0,0,29,4
Kiribati,-157.36,1.87,🇰🇮,0,0,29,4
Solomon Islands,160.16,-9.65,🇸🇧,0,0,29,4
Tuvalu,179.20,-8.52,🇹🇻,10,-8,29,4
Tokelau,-171.85,-9.20,🇹🇰,0,0,29,4
Vanuatu,167.96,-15.38,🇻🇺,-10,5,-29,4
Fiji,178.07,-17.71,🇫🇯,10,-4,29,4
Samoa,-172.10,-13.76,🼼🇸,22,-10,29,4
Tonga,-175.20,-21.18,🇹🇴,-18,18,-29,4
New Caledonia,165.62,-20.90,🇳🇨,0,0,-29,4
Wallis and Futuna,-176.20,-13.80,🇼🇫,-12,-12,-29,4
American Samoa,-170.70,-14.27,🇦🇸,10,10,29,4
Niue,-169.87,-19.05,🇳🇺,10,5,29,4
Cook Islands,-159.78,-21.24,🇨🇰,0,0,29,4
French Polynesia,-149.41,-17.68,🇵🇫,0,0,29,4
Pitcairn,-130.10,-24.38,🇵🇳,0,0,29,4
